tournament_year,match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,top_player_reliance,top_connection_count,final_third_entries,progressive_passes,key_passes,goal_assists,through_balls,crosses,final_third_entry_share,final_third_entries_per_100_passes,connections_per_100_passes,passes_per_connection,advanced_from_group,reached_qf,stage_reached,most_involved_player,top_connection
2022,3869220,Morocco vs Spain,2022-12-06,R16,Spain,Morocco,0,0,D,960,142,17,0.5221,0.2052,68,101,220,8,0,1,5,0.1052,10.52,14.79,6.76,1,0,Round of 16,Rodrigo Hernández Cascante,Cascante → Laporte
2022,3869219,Japan vs Croatia,2022-12-05,R16,Japan,Croatia,1,1,D,436,131,16,0.5458,0.1273,14,37,116,7,0,0,3,0.0849,8.49,30.05,3.33,1,0,Round of 16,Wataru Endo,Tomiyasu → Endo
2022,3869219,Japan vs Croatia,2022-12-05,R16,Croatia,Japan,1,1,D,657,136,17,0.5,0.1796,26,55,184,8,1,0,8,0.0837,8.37,20.7,4.83,1,1,3rd Place,Marcelo Brozović,Gvardiol → Lovren
2022,3869253,Brazil vs South Korea,2022-12-05,R16,Brazil,South Korea,4,1,W,566,129,16,0.5375,0.1405,28,40,140,10,2,2,4,0.0707,7.07,22.79,4.39,1,1,Quarter-final,Thiago Emiliano da Silva,Silva → Silva
2022,3869253,Brazil vs South Korea,2022-12-05,R16,South Korea,Brazil,1,4,L,476,142,15,0.6762,0.1282,14,37,120,5,0,0,1,0.0777,7.77,29.83,3.35,1,0,Round of 16,Min Jae Kim,Kim → Kim
2022,3869152,France vs Poland,2022-12-04,R16,France,Poland,3,1,W,505,123,15,0.5857,0.1317,18,44,127,8,3,1,4,0.0871,8.71,24.36,4.11,1,1,Final,Aurélien Djani Tchouaméni,Koundé → Dembélé
2022,3869152,France vs Poland,2022-12-04,R16,Poland,France,1,3,L,406,111,16,0.4625,0.1675,18,29,109,5,0,0,7,0.0714,7.14,27.34,3.66,1,0,Round of 16,Jakub Piotr Kiwior,Glik → Kiwior
2022,3869117,Netherlands vs United States,2022-12-03,R16,Netherlands,United States,3,1,W,332,111,14,0.6099,0.1161,11,20,108,7,3,1,4,0.0602,6.02,33.43,2.99,1,1,Quarter-final,Virgil van Dijk,Timber → Dumfries
2022,3869117,Netherlands vs United States,2022-12-03,R16,United States,Netherlands,1,3,L,499,134,15,0.6381,0.1404,27,38,137,13,1,0,4,0.0762,7.62,26.85,3.72,1,0,Round of 16,Tyler Adams,Ream → Zimmerman
2022,3857270,Portugal vs Uruguay,2022-11-28,group,Portugal,Uruguay,2,0,W,525,136,16,0.5667,0.1086,16,29,122,11,1,0,5,0.0552,5.52,25.9,3.86,1,1,Quarter-final,William Silva de Carvalho,Cancelo → Fernandes
2022,3857270,Portugal vs Uruguay,2022-11-28,group,Uruguay,Portugal,0,2,L,324,130,16,0.5417,0.1389,10,23,91,10,0,0,4,0.071,7.1,40.12,2.49,0,0,Group Stage,Rodrigo Bentancur Colmán,Colmán → Dipetta
2022,3857263,Spain vs Germany,2022-11-27,group,Spain,Germany,1,1,D,578,126,15,0.6,0.1574,32,28,140,6,1,2,4,0.0484,4.84,21.8,4.59,1,0,Round of 16,Rodrigo Hernández Cascante,Cascante → Ramos
2022,3857263,Spain vs Germany,2022-11-27,group,Germany,Spain,1,1,D,291,107,16,0.4458,0.1392,10,20,82,7,0,3,1,0.0687,6.87,36.77,2.72,0,0,Group Stage,Antonio Rüdiger,Rüdiger → Neuer
2022,3857259,Cameroon vs Serbia,2022-11-28,group,Cameroon,Serbia,3,3,D,276,116,16,0.4833,0.1467,12,17,88,7,2,1,2,0.0616,6.16,42.03,2.38,0,0,Group Stage,Ngoran Suiru Fai Collins,Tolo → Ndoubena
2022,3857259,Cameroon vs Serbia,2022-11-28,group,Serbia,Cameroon,3,3,D,428,136,16,0.5667,0.1425,14,36,130,7,3,1,5,0.0841,8.41,31.78,3.15,0,0,Group Stage,Saša Lukić,Tadić → Kostić
2022,3857283,Belgium vs Morocco,2022-11-27,group,Belgium,Morocco,0,2,L,604,124,16,0.5167,0.1565,34,30,164,8,0,0,1,0.0497,4.97,20.53,4.87,0,0,Group Stage,Toby Alderweireld,Vertonghen → Alderweireld
2022,3857283,Belgium vs Morocco,2022-11-27,group,Morocco,Belgium,2,0,W,287,107,16,0.4458,0.1272,11,18,82,8,2,1,4,0.0627,6.27,37.28,2.68,1,1,3rd Place,Nayef Aguerd,Mouh → Amallah
