match_id,team,player,total_passes_sent,total_passes_received,weighted_degree
3857266,Denmark,Joakim Mæhle,37,36,73
3857266,Denmark,Mikkel Damsgaard,23,27,50
3857266,Denmark,Pierre-Emile Højbjerg,61,61,122
3857266,Denmark,Rasmus Nissen Kristensen,56,60,116
3857266,Denmark,Andreas Evald Cornelius,10,15,25
3857266,Denmark,Jesper Lindstrøm,15,24,39
3857266,Denmark,Kasper Dolberg,3,4,7
3857266,Denmark,Martin Braithwaite Christensen,3,11,14
3857266,Denmark,Kasper Schmeichel,16,6,22
3857266,France,Adrien Rabiot,41,41,82
3857266,France,Antoine Griezmann,37,34,71
3857266,France,Aurélien Djani Tchouaméni,67,61,128
3857266,France,Dayotchanculle Upamecano,54,46,100
3857266,France,Hugo Lloris,20,16,36
3857266,France,Ibrahima Konaté,11,12,23
3857266,France,Jules Koundé,53,50,103
3857266,France,Kingsley Coman,13,14,27
3857266,France,Kylian Mbappé Lottin,30,49,79
3857266,France,Raphaël Varane,35,32,67
3857266,France,Theo Bernard François Hernández,66,60,126
3857266,France,Marcus Thuram,4,5,9
3857266,France,Olivier Giroud,8,14,22
3857266,France,Ousmane Dembélé,23,29,52
3857266,France,Youssouf Fofana,2,1,3
3857267,Ecuador,Alan Steven Franco Palma,4,2,6
3857267,Ecuador,Angelo Smit Preciado Quiñónez,29,26,55
3857267,Ecuador,Carlos Armando Gruezo Arboleda,13,14,27
3857267,Ecuador,Gonzalo Jordy Plata Jiménez,24,23,47
3857267,Ecuador,Djorkaeff Neicer Reasco González,3,5,8
3857267,Ecuador,Felix Eduardo Torres Caicedo,56,55,111
3857267,Ecuador,José Adoni Cifuentes Charcopa,27,29,56
3857267,Ecuador,Michael Steveen Estrada Martínez,3,12,15
3857267,Ecuador,Moisés Isaac Caicedo Corozo,41,39,80
3857267,Ecuador,Piero Martín Hincapié Reyna,74,75,149
3857267,Ecuador,Enner Remberto Valencia Lastra,8,18,26
3857267,Ecuador,Pervis Josué Estupiñán Tenorio,42,37,79
3857267,Ecuador,Jeremy Leonel Sarmiento Morante,12,11,23
3857267,Ecuador,Hernán Ismael Galíndez,22,14,36
3857267,Ecuador,Jackson Gabriel Porozo Vernaza,4,2,6
3857267,Senegal,Abdou Diallo,20,19,39
3857267,Senegal,Edouard Mendy,16,10,26
3857267,Senegal,Idrissa Gana Gueye,22,20,42
3857267,Senegal,Ismail Jakobs,21,19,40
3857267,Senegal,Ismaïla Sarr,15,25,40
3857267,Senegal,Kalidou Koulibaly,20,16,36
3857267,Senegal,Pape Gueye,20,17,37
3857267,Senegal,Pathé Ismaël Ciss,22,19,41
3857267,Senegal,Youssouf Sabaly,27,25,52
3857267,Senegal,Boulaye Dia,5,17,22
3857267,Senegal,Cheikh Ahmadou Bamba Mbacke Dieng,3,5,8
3857267,Senegal,Iliman Ndiaye,11,15,26
