match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,most_involved_player,top_player_reliance,top_connection,top_connection_count,final_third_entries,advanced_from_group,reached_qf,stage_reached
3857256,Serbia vs Switzerland,2022-12-02,group,Switzerland,Serbia,3,2,W,346,108,14,0.5934,Granit Xhaka,0.1404,Akanji → Xhaka,13,30,1,0,Round of 16
3869151,Argentina vs Australia,2022-12-03,R16,Argentina,Australia,2,1,W,646,133,16,0.5542,Enzo Fernandez,0.1393,Otamendi → Acuña,21,45,1,1,Final
3869151,Argentina vs Australia,2022-12-03,R16,Australia,Argentina,1,2,L,384,115,15,0.5476,Kye Rowles,0.1621,Rowles → Souttar,17,23,1,0,Round of 16
3857257,Australia vs Denmark,2022-11-30,group,Australia,Denmark,1,0,W,219,92,15,0.4381,Aziz Eraltay Behich,0.121,Goodwin → Behich,8,22,1,0,Round of 16
3857257,Australia vs Denmark,2022-11-30,group,Denmark,Australia,0,1,L,590,145,16,0.6042,Joachim Andersen,0.1653,Christensen → Andersen,27,53,0,0,Group Stage
3857258,Brazil vs Serbia,2022-11-24,group,Brazil,Serbia,2,0,W,539,125,16,0.5208,Alex Sandro Lobo Silva,0.141,Silva → Silva,19,52,1,1,Quarter-final
3857258,Brazil vs Serbia,2022-11-24,group,Serbia,Brazil,0,2,L,351,135,16,0.5625,Milos Veljkovic,0.1125,Veljkovic → Milenković,13,25,0,0,Group Stage
3857288,Tunisia vs Australia,2022-11-26,group,Tunisia,Australia,0,1,L,406,128,15,0.6095,Yassine Meriah,0.1552,Bronn → Meriah,21,30,0,0,Group Stage
3857288,Tunisia vs Australia,2022-11-26,group,Australia,Tunisia,1,0,W,274,103,16,0.4292,Aaron Mooy,0.1223,Irvine → Mooy,12,29,1,0,Round of 16
3857267,Ecuador vs Senegal,2022-11-29,group,Ecuador,Senegal,1,2,L,362,101,15,0.481,Piero Martín Hincapié Reyna,0.2058,Caicedo → Reyna,24,23,0,0,Group Stage
3857267,Ecuador vs Senegal,2022-11-29,group,Senegal,Ecuador,2,1,W,213,98,13,0.6282,Youssouf Sabaly,0.1221,Jakobs → Sarr,7,24,1,0,Round of 16
3857287,Uruguay vs South Korea,2022-11-24,group,Uruguay,South Korea,0,0,D,475,115,15,0.5476,Rodrigo Bentancur Colmán,0.1421,Silva → Leal,23,44,0,0,Group Stage
3857287,Uruguay vs South Korea,2022-11-24,group,South Korea,Uruguay,0,0,D,351,109,14,0.5989,In-Beom Hwang,0.1339,Kim → Hwang,11,29,1,0,Round of 16
3869486,Morocco vs Portugal,2022-12-10,QF,Morocco,Portugal,1,0,W,184,85,13,0.5449,Achraf Hakimi Mouh,0.1475,Mouh → Ziyech,12,9,1,1,3rd Place
3869486,Morocco vs Portugal,2022-12-10,QF,Portugal,Morocco,0,1,L,616,128,16,0.5333,Kléper Laveran Lima Ferreira,0.1485,Dias → Ferreira,22,63,1,1,Quarter-final
3857260,Saudi Arabia vs Mexico,2022-11-30,group,Saudi Arabia,Mexico,1,2,L,194,99,15,0.4714,Mohammed Kanoo,0.1186,Amri → Ghannam,8,18,0,0,Group Stage
3857260,Saudi Arabia vs Mexico,2022-11-30,group,Mexico,Saudi Arabia,2,1,W,367,110,15,0.5238,César Jasib Montes Castro,0.1528,Herrera → Castro,16,37,0,0,Group Stage
3857264,Poland vs Argentina,2022-11-30,group,Poland,Argentina,0,2,L,267,106,16,0.4417,Jakub Piotr Kiwior,0.1423,Kiwior → Glik,11,9,1,0,Round of 16
3857264,Poland vs Argentina,2022-11-30,group,Argentina,Poland,2,0,W,826,154,16,0.6417,Rodrigo Javier De Paul,0.1695,Lucero → Paul,27,75,1,1,Final
3857289,Argentina vs Mexico,2022-11-26,group,Argentina,Mexico,2,0,W,476,125,16,0.5208,Nicolás Hernán Otamendi,0.1513,Otamendi → Montiel,18,27,1,1,Final
