tournament_year,match_id,match_name,date,stage,team,opponent,goals_for,goals_against,match_result,completed_passes,unique_passing_pairs,num_players,network_density,top_player_reliance,top_connection_count,final_third_entries,progressive_passes,key_passes,goal_assists,through_balls,crosses,final_third_entry_share,final_third_entries_per_100_passes,connections_per_100_passes,passes_per_connection
2018,7585,Colombia vs England,2018-07-03,R16,England,Colombia,1,1,D,477,131,15,0.6238,0.1551,20,44,162,12,0,0,3,0.0922,9.22,27.46,3.64
2018,7569,Panama vs Tunisia,2018-06-28,group,Panama,Tunisia,1,2,L,202,89,14,0.489,0.1361,7,22,65,5,0,0,0,0.1089,10.89,44.06,2.27
2018,7569,Panama vs Tunisia,2018-06-28,group,Tunisia,Panama,2,1,W,547,115,13,0.7372,0.1601,25,51,141,9,2,3,3,0.0932,9.32,21.02,4.76
2018,7572,Japan vs Poland,2018-06-28,group,Japan,Poland,0,1,L,491,109,14,0.5989,0.1527,24,31,129,10,0,0,3,0.0631,6.31,22.2,4.5
2018,7572,Japan vs Poland,2018-06-28,group,Poland,Japan,1,0,W,400,102,13,0.6538,0.16,29,40,118,8,1,0,1,0.1,10.0,25.5,3.92
2018,7561,Iceland vs Croatia,2018-06-26,group,Iceland,Croatia,1,2,L,224,88,12,0.6667,0.1191,8,30,85,12,0,0,4,0.1339,13.39,39.29,2.55
2018,7561,Iceland vs Croatia,2018-06-26,group,Croatia,Iceland,2,1,W,451,98,14,0.5385,0.1707,24,36,121,8,1,0,1,0.0798,7.98,21.73,4.6
2018,7540,Russia vs Egypt,2018-06-19,group,Russia,Egypt,3,1,W,321,102,14,0.5604,0.1417,10,25,83,5,2,0,8,0.0779,7.79,31.78,3.15
2018,7540,Russia vs Egypt,2018-06-19,group,Egypt,Russia,1,3,L,360,109,14,0.5989,0.15,17,41,106,11,0,0,4,0.1139,11.39,30.28,3.3
2018,7531,Argentina vs Iceland,2018-06-16,group,Argentina,Iceland,1,1,D,694,125,14,0.6868,0.1823,25,76,171,20,0,0,6,0.1095,10.95,18.01,5.55
2018,7531,Argentina vs Iceland,2018-06-16,group,Iceland,Argentina,1,1,D,137,87,14,0.478,0.1387,5,18,47,4,0,0,1,0.1314,13.14,63.5,1.57
2018,7570,England vs Belgium,2018-06-28,group,England,Belgium,0,1,L,432,110,13,0.7051,0.1574,17,27,115,7,0,1,3,0.0625,6.25,25.46,3.93
2018,7570,England vs Belgium,2018-06-28,group,Belgium,England,1,0,W,487,101,13,0.6474,0.1366,22,25,133,10,1,0,6,0.0513,5.13,20.74,4.82
2018,7586,Sweden vs Switzerland,2018-07-03,R16,Sweden,Switzerland,1,0,W,202,84,14,0.4615,0.1139,7,20,77,6,1,0,2,0.099,9.9,41.58,2.4
2018,7586,Sweden vs Switzerland,2018-07-03,R16,Switzerland,Sweden,0,1,L,510,102,13,0.6538,0.1608,20,42,145,10,0,0,10,0.0824,8.24,20.0,5.0
2018,7557,Iran vs Portugal,2018-06-25,group,Iran,Portugal,1,1,D,154,83,14,0.456,0.1201,6,20,62,6,0,0,2,0.1299,12.99,53.9,1.86
2018,7557,Iran vs Portugal,2018-06-25,group,Portugal,Iran,1,1,D,534,102,13,0.6538,0.1687,15,50,142,10,1,0,3,0.0936,9.36,19.1,5.24
2018,7542,Portugal vs Morocco,2018-06-20,group,Portugal,Morocco,1,0,W,281,109,14,0.5989,0.1192,10,15,98,7,1,0,3,0.0534,5.34,38.79,2.58
2018,7542,Portugal vs Morocco,2018-06-20,group,Morocco,Portugal,0,1,L,382,114,14,0.6264,0.1257,13,33,105,11,0,0,8,0.0864,8.64,29.84,3.35
2018,8656,Croatia vs England,2018-07-11,SF,Croatia,England,2,1,W,492,107,14,0.5879,0.1453,21,43,184,12,2,0,4,0.0874,8.74,21.75,4.6
2018,8656,Croatia vs England,2018-07-11,SF,England,Croatia,1,2,L,403,122,14,0.6703,0.1255,14,30,126,9,0,0,2,0.0744,7.44,30.27,3.3
2018,7548,Brazil vs Costa Rica,2018-06-22,group,Brazil,Costa Rica,2,0,W,661,128,14,0.7033,0.1498,32,65,207,18,1,0,9,0.0983,9.83,19.36,5.16
2018,7548,Brazil vs Costa Rica,2018-06-22,group,Costa Rica,Brazil,0,2,L,205,88,14,0.4835,0.1366,10,16,72,2,0,0,1,0.078,7.8,42.93,2.33
2018,7578,Egypt vs Uruguay,2018-06-15,group,Egypt,Uruguay,0,1,L,344,106,14,0.5824,0.1395,13,26,97,2,0,0,2,0.0756,7.56,30.81,3.25
2018,7578,Egypt vs Uruguay,2018-06-15,group,Uruguay,Egypt,1,0,W,513,119,14,0.6538,0.152,17,48,146,10,1,0,3,0.0936,9.36,23.2,4.31
2018,7553,South Korea vs Mexico,2018-06-23,group,South Korea,Mexico,1,2,L,279,111,14,0.6099,0.1344,8,30,88,11,1,0,1,0.1075,10.75,39.78,2.51
2018,7553,South Korea vs Mexico,2018-06-23,group,Mexico,South Korea,2,1,W,422,110,14,0.6044,0.1398,25,39,119,9,1,0,2,0.0924,9.24,26.07,3.84
2018,7536,Belgium vs Panama,2018-06-18,group,Belgium,Panama,3,0,W,513,109,14,0.5989,0.1813,37,45,141,8,2,4,4,0.0877,8.77,21.25,4.71
2018,7536,Belgium vs Panama,2018-06-18,group,Panama,Belgium,0,3,L,284,98,14,0.5385,0.1408,12,26,89,5,0,1,2,0.0915,9.15,34.51,2.9
2018,7555,Poland vs Colombia,2018-06-24,group,Poland,Colombia,0,3,L,340,107,14,0.5879,0.1309,14,27,103,8,0,0,5,0.0794,7.94,31.47,3.18
2018,7555,Poland vs Colombia,2018-06-24,group,Colombia,Poland,3,0,W,427,117,14,0.6429,0.1429,18,38,120,5,3,0,1,0.089,8.9,27.4,3.65
2018,7576,Portugal vs Spain,2018-06-15,group,Portugal,Spain,3,3,D,318,104,14,0.5714,0.1447,11,32,107,5,0,0,3,0.1006,10.06,32.7,3.06
2018,7576,Portugal vs Spain,2018-06-15,group,Spain,Portugal,3,3,D,714,126,14,0.6923,0.1485,29,60,158,7,1,0,6,0.084,8.4,17.65,5.67
2018,7565,Serbia vs Brazil,2018-06-27,group,Serbia,Brazil,0,2,L,337,99,13,0.6346,0.1187,15,29,111,8,0,0,5,0.0861,8.61,29.38,3.4
2018,7565,Serbia vs Brazil,2018-06-27,group,Brazil,Serbia,2,0,W,553,120,14,0.6593,0.1401,32,39,123,10,2,0,4,0.0705,7.05,21.7,4.61
2018,7551,Germany vs Sweden,2018-06-23,group,Germany,Sweden,2,1,W,619,121,14,0.6648,0.1777,28,63,200,13,1,0,10,0.1018,10.18,19.55,5.12
2018,7551,Germany vs Sweden,2018-06-23,group,Sweden,Germany,1,2,L,164,80,14,0.4396,0.1402,7,20,67,5,1,1,5,0.122,12.2,48.78,2.05
2018,7537,Tunisia vs England,2018-06-18,group,Tunisia,England,1,2,L,285,91,13,0.5833,0.1235,11,9,67,4,0,1,1,0.0316,3.16,31.93,3.13
2018,7537,Tunisia vs England,2018-06-18,group,England,Tunisia,2,1,W,484,114,13,0.7308,0.1405,22,47,141,11,1,0,4,0.0971,9.71,23.55,4.25
2018,7580,France vs Argentina,2018-06-30,R16,France,Argentina,4,3,W,283,88,14,0.4835,0.159,11,22,82,2,2,0,3,0.0777,7.77,31.1,3.22
2018,7580,France vs Argentina,2018-06-30,R16,Argentina,France,3,4,L,448,117,14,0.6429,0.1596,18,42,125,5,2,0,3,0.0938,9.38,26.12,3.83
