match_id,year,team,total_players,eligible_players,targeted_player,targeted_efficiency_damage,targeted_progressive_capacity_damage,targeted_pass_involvement,targeted_betweenness,targeted_pass_involvement_rank,eligible_efficiency_damage_mean,eligible_efficiency_damage_std,eligible_progressive_damage_mean,targeted_excess_efficiency_damage,targeted_standardized_gap,targeted_to_random_ratio,targeted_damage_percentile,top1_top2_gap
7570,2018,Belgium,13,13,Mousa Sidi Yaya Dembélé,0.0267379679144384,0.2330827067669172,119,0.1098484848484848,3,-1.6012832085939756e-17,0.01971641872159435,0.15384615384615377,0.02673796791443842,1.3561270072416214,,100.0,0.008689839572192503
7570,2018,England,13,12,Danny Rose,0.0179257362355953,0.1478260869565217,65,0.2359848484848485,7,0.005441741357234266,0.007968343406422745,0.16666666666666663,0.012483994878361035,1.566698903601284,3.2941176470588367,100.0,0.0
7571,2018,Colombia,14,13,Davinson Sánchez Mina,0.0212527964205815,0.2113821138211382,104,0.0048076923076923,1,0.003585154591865955,0.01722637197083554,0.1519699812382739,0.017667641828715545,1.0256159485367597,5.928000000000034,100.0,0.0
7571,2018,Senegal,14,11,Kalidou Koulibaly,0.0515587529976026,0.2125,63,0.158119658119658,2,0.013916139815420846,0.021385911062720083,0.17727272727272728,0.03764261318218175,1.7601594372942262,3.7049608355090657,100.0,0.013988808952837897
7572,2018,Japan,14,14,Gaku Shibasaki,0.0290322580645161,0.2170542635658914,111,0.2639041514041514,4,-1.486905836551549e-17,0.015544980962151515,0.14285714285714282,0.029032258064516113,1.8676290524384072,,100.0,0.007526881720430201
7572,2018,Poland,13,13,Grzegorz Krychowiak,0.0180481283422459,0.1779661016949152,79,0.1054292929292929,4,-3.0958142032816866e-17,0.0185004712608262,0.1538461538461538,0.01804812834224593,0.975549654265398,,100.0,0.0
7576,2018,Portugal,14,14,Cristiano Ronaldo dos Santos Aveiro,0.0265068990559187,0.3177570093457944,70,0.1538461538461538,4,0.0001815541031227588,0.020165586181758857,0.14285714285714282,0.026325344952795943,1.3054589494953044,145.99999999997752,100.0,0.0025417574437183003
7576,2018,Spain,14,14,Gerard Piqué Bernabéu,0.0194274028629857,0.1582278481012658,124,0.1601495726495726,7,2.973811673103098e-17,0.017621357811466322,0.14285714285714277,0.01942740286298567,1.1024918210527535,,100.0,0.0
7577,2018,Iran,14,12,Sardar Azmoun,0.0638211382113829,0.3773584905660377,37,0.1625152625152624,1,0.010467479674797359,0.02164363762901301,0.16194968553459113,0.05335365853658554,2.465096646465087,6.097087378640496,100.0,0.0369918699186992
7577,2018,Morocco,14,13,Hakim Ziyech,0.0328947368421052,0.2521739130434782,86,0.2617826617826617,3,0.0033738191632928694,0.020384402076825934,0.15183946488294311,0.02952091767881233,1.4482111159087305,9.749999999999918,100.0,0.0
7578,2018,Egypt,14,14,Abdalla Mahmoud El Said Bekhit,0.0315904139433551,0.3608247422680412,96,0.037767094017094,1,0.0,0.01886765585587007,0.14285714285714282,0.0315904139433551,1.6743157806499185,,100.0,0.0076252723311547
7578,2018,Uruguay,14,14,Rodrigo Bentancur Colmán,0.0265548567435358,0.2876712328767123,156,0.0053418803418803,1,0.0001747030048917004,0.01851604614114355,0.14285714285714285,0.0263801537386441,1.4247185137450118,151.9999999999848,100.0,0.009783368273934102
7579,2018,Portugal,14,13,Bernardo Mota Veiga de Carvalho e Silva,0.0277777777777776,0.282051282051282,145,0.0213675213675213,1,0.003921886833279254,0.013734109875933626,0.15285996055226816,0.023855890944498345,1.7369812212075852,7.082758620689582,100.0,0.0098452883263008
