match_id,team,player,passes_sent,passes_received,weighted_in_degree,weighted_out_degree,total_weighted_degree,betweenness_centrality,unique_passing_partners,progressive_passes_sent,progressive_passes_received
3857262,South Korea,Jun-Ho Son,7,6,6,7,13,0.041727716727716725,7,1,2
3857262,South Korea,Ui-Jo Hwang,2,2,2,2,4,0.021749084249084248,4,0,2
3857262,Portugal,Rúben Diogo Da Silva Neves,62,59,59,62,121,0.005952380952380953,9,19,6
3857262,Portugal,José Diogo Dalot Teixeira,53,55,55,53,108,0.1358049886621315,14,14,17
3857262,Portugal,António João Pereira Albuquerque Tavares Silva,57,50,50,57,107,0.020045351473922904,11,16,3
3857262,Portugal,João Pedro Cavaco Cancelo,77,66,66,77,143,0.11187074829931973,15,22,23
3857262,Portugal,Vitor Machado Ferreira,59,62,62,59,121,0.0,11,11,9
3857262,Portugal,Kléper Laveran Lima Ferreira,67,61,61,67,128,0.148265306122449,15,20,2
3857262,Portugal,João Mário Naval da Costa Eduardo,34,33,33,34,67,0.18494331065759637,12,3,15
3857262,Portugal,Cristiano Ronaldo dos Santos Aveiro,15,20,20,15,35,0.05452380952380952,8,0,10
3857262,Portugal,Matheus Luiz Nunes,21,31,31,21,52,0.008095238095238096,10,4,14
3857262,Portugal,Diogo Meireles Costa,23,19,19,23,42,0.06634920634920635,9,14,0
3857262,Portugal,Ricardo Jorge Luz Horta,13,17,17,13,30,0.0754875283446712,9,2,7
3857262,Portugal,Rafael Alexandre Conceição Leão,7,13,13,7,20,0.09886621315192744,7,0,9
3857262,Portugal,João Maria Lobo Alves Palhinha Gonçalves,16,15,15,16,31,0.02691609977324263,9,3,3
3857262,Portugal,André Miguel Valente Silva,10,12,12,10,22,0.24948979591836734,9,1,9
3857262,Portugal,William Silva de Carvalho,13,13,13,13,26,0.009523809523809525,7,3,1
3857262,Portugal,Bernardo Mota Veiga de Carvalho e Silva,7,8,8,7,15,0.003968253968253968,5,0,4
3857263,Spain,Pablo Martín Páez Gavira,10,12,12,10,22,0.08333333333333334,9,2,2
3857263,Spain,Aymeric Laporte,89,84,84,89,173,0.012362637362637364,12,26,2
3857263,Spain,Rodrigo Hernández Cascante,95,87,87,95,182,0.018315018315018316,13,27,2
3857263,Spain,Ferrán Torres García,11,28,28,11,39,0.03937728937728937,10,2,19
3857263,Spain,Jordi Alba Ramos,71,63,63,71,134,0.008241758241758242,11,18,19
3857263,Spain,Daniel Carvajal Ramos,65,48,48,65,113,0.17628205128205132,14,12,15
3857263,Spain,Pedro González López,59,58,58,59,117,0.038461538461538464,13,15,12
3857263,Spain,Daniel Olmo Carvajal,33,47,47,33,80,0.01785714285714286,10,4,23
3857263,Spain,Unai Simón Mendibil,47,41,41,47,88,0.0086996336996337,9,11,0
3857263,Spain,Sergio Busquets i Burgos,41,29,29,41,70,0.09752747252747254,14,11,5
3857263,Spain,Marco Asensio Willemsen,29,36,36,29,65,0.13873626373626374,11,4,17
3857263,Spain,Álvaro Borja Morata Martín,4,12,12,4,16,0.23443223443223443,10,2,11
3857263,Spain,Jorge Resurrección Merodio,8,11,11,8,19,0.027014652014652012,6,2,4
3857263,Spain,Nicholas Williams Arthuer,8,14,14,8,22,0.16941391941391942,9,2,7
3857263,Spain,Alejandro Balde Martínez,8,8,8,8,16,0.03937728937728938,7,2,2
3857263,Germany,Leon Goretzka,19,16,16,19,35,0.0931859410430839,12,5,2
3857263,Germany,İlkay Gündoğan,13,12,12,13,25,0.08653439153439155,10,0,5
3857263,Germany,Thilo Kehrer,21,20,20,21,41,0.10639455782312926,9,10,6
3857263,Germany,Niklas Süle,41,34,34,41,75,0.2539455782312925,14,14,3
