match_id,team,num_players,num_edges,network_density,total_completed_passes,unique_passing_connections
7550,Serbia,13,94,0.6025641025641025,263,94
7551,Sweden,14,80,0.43956043956043955,164,80
7551,Germany,14,121,0.6648351648351648,619,121
7552,Belgium,14,111,0.6098901098901099,392,111
7552,Tunisia,14,117,0.6428571428571429,374,117
7553,South Korea,14,111,0.6098901098901099,279,111
7553,Mexico,14,110,0.6043956043956044,422,110
7554,England,14,116,0.6373626373626373,552,116
7554,Panama,14,108,0.5934065934065934,349,108
7555,Poland,14,107,0.5879120879120879,340,107
7555,Colombia,14,117,0.6428571428571429,427,117
7556,Japan,14,99,0.5439560439560439,368,99
7556,Senegal,14,100,0.5494505494505495,285,100
7557,Portugal,14,102,0.5604395604395604,534,102
7557,Iran,14,83,0.45604395604395603,154,83
7558,Russia,14,106,0.5824175824175825,290,106
7558,Uruguay,14,102,0.5604395604395604,436,102
7559,Egypt,14,99,0.5439560439560439,292,99
7559,Saudi Arabia,13,102,0.6538461538461539,589,102
7560,Spain,14,113,0.6208791208791209,675,113
7560,Morocco,14,92,0.5054945054945055,187,92
7561,Iceland,14,88,0.4835164835164835,224,88
7561,Croatia,14,98,0.5384615384615384,451,98
7562,Peru,14,117,0.6428571428571429,341,117
7562,Australia,14,109,0.5989010989010989,489,109
7563,France,14,117,0.6428571428571429,592,117
7563,Denmark,13,94,0.6025641025641025,236,94
7564,Nigeria,14,88,0.4835164835164835,210,88
7564,Argentina,13,104,0.6666666666666666,479,104
7565,Brazil,14,120,0.6593406593406593,553,120
7565,Serbia,13,99,0.6346153846153846,337,99
7566,Sweden,14,78,0.42857142857142855,152,78
7566,Mexico,14,117,0.6428571428571429,404,117
7567,Germany,14,124,0.6813186813186813,631,124
7567,South Korea,14,91,0.5,184,91
7568,Switzerland,14,110,0.6043956043956044,502,110
7568,Costa Rica,14,95,0.521978021978022,280,95
7569,Panama,14,89,0.489010989010989,202,89
7569,Tunisia,14,115,0.6318681318681318,547,115
7570,England,13,110,0.7051282051282052,432,110
7570,Belgium,13,101,0.6474358974358975,487,101
7571,Senegal,14,81,0.44505494505494503,234,81
7571,Colombia,14,98,0.5384615384615384,358,98
7572,Poland,13,102,0.6538461538461539,400,102
7572,Japan,14,109,0.5989010989010989,491,109
7576,Spain,14,126,0.6923076923076923,714,126
7576,Portugal,14,104,0.5714285714285714,318,104
7577,Morocco,14,105,0.5769230769230769,397,105
7577,Iran,14,74,0.4065934065934066,144,74
7578,Uruguay,14,119,0.6538461538461539,513,119
7578,Egypt,14,106,0.5824175824175825,344,106
7579,Portugal,14,116,0.6373626373626373,486,116
7579,Uruguay,14,94,0.5164835164835165,190,94
7580,France,14,88,0.4835164835164835,283,88
7580,Argentina,14,117,0.6428571428571429,448,117
7581,Denmark,15,138,0.6571428571428571,445,138
7581,Croatia,15,115,0.5476190476190477,517,115
7582,Spain,15,134,0.638095238095238,1026,134
7582,Russia,15,96,0.45714285714285713,215,96
7583,Mexico,14,113,0.6208791208791209,353,113
7583,Brazil,14,100,0.5494505494505495,330,100
7584,Belgium,13,110,0.7051282051282052,524,110
7584,Japan,13,99,0.6346153846153846,363,99
7585,Colombia,15,125,0.5952380952380952,429,125
7585,England,15,131,0.6238095238095238,477,131
7586,Sweden,14,84,0.46153846153846156,202,84
7586,Switzerland,13,102,0.6538461538461539,510,102
8649,Uruguay,14,96,0.5274725274725275,217,96
8649,France,14,99,0.5439560439560439,445,99
8650,Brazil,14,114,0.6263736263736264,459,114
8650,Belgium,13,93,0.5961538461538461,310,93
8651,Sweden,14,100,0.5494505494505495,291,100
8651,England,14,107,0.5879120879120879,426,107
8652,Croatia,15,144,0.6857142857142857,607,144
8652,Russia,15,119,0.5666666666666667,266,119
8655,France,13,85,0.5448717948717948,301,85
8655,Belgium,13,103,0.6602564102564102,549,103
8656,England,15,122,0.580952380952381,403,122
8656,Croatia,14,107,0.5879120879120879,492,107
8657,Belgium,14,113,0.6208791208791209,427,113
8657,England,14,128,0.7032967032967034,619,128
8658,Croatia,13,98,0.6282051282051282,448,98
8658,France,14,96,0.5274725274725275,202,96
